title,dateTime
Black trans woman Kee Sam becomes the 28th known transgender person murdered in the US this year so far,September 30 2020
"Louis Theroux reunites with girl from trans kids documentary. She’s happy, thriving and – please contain your shock – still transgender",September 28 2020
Transgender Satanist anarchist wins Republican county sheriff nomination on a ‘f**k the police’ platform,September 18 2020
"As a proud transgender bisexual man, my labels are comforting, freeing and feel like home",September 18 2020
Native American Two Spirit person becomes the first openly transgender official elected in the state of Maine,September 12 2020
"Gruesome murders of two transgender women in Mexico, just days apart, leaves trans community ‘terrified’",September 10 2020
This is how a transgender author’s nine-month stay in a women’s refuge quite literally saved her life,September 9 2020
"Transgender victims of the Gender Identity Clinic data breach could be eligible for £30,000 in compensation",September 8 2020
Terrifying new law that would legally erase transgender people inches closer to reality in Putin’s Russia,September 7 2020
Jennifer Lopez introduces her transgender nibling Brendon to the world as she shares their moving short film,August 24 2020
"First-ever Tour de Trans sees cyclists take on 1,000 mile challenge to help empower transgender people everywhere",August 19 2020
Judge finally blocks Donald Trump from rolling back transgender healthcare protections at the 11th hour,August 18 2020
"Ancient Viking warrior given a hero’s burial may have actually been ‘transgender, non-binary or gender fluid’, researchers say",August 16 2020
Murder trial begins in horrific killing of a transgender teen who had her eyes gouged out and her body set on fire,August 3 2020
"Rabid Trump supporter chants ‘kill transgenders, kill f****ts’ in response to peaceful Black Lives Matter protest",July 28 2020
"Transgender people nearly left out of historic Supreme Court LGBT+ rights ruling, bombshell leak claims",July 28 2020
"Meet the trailblazing transgender mountain climber who wants to fly the trans Pride flag from the top of Mount Everest, the highest peak in the world",July 24 2020
There wasn’t a single explicitly transgender character in any of last year’s 118 major blockbusters. Zero. Not one,July 22 2020
First-ever homeless shelter for transgender Americans set to open in New Orleans,July 20 2020
Pakistan’s first transgender policewoman becomes victim support officer to shield others from abuse,July 19 2020
Malaysian police given ‘full license’ to arrest transgender people and force them to undergo ‘Islamic education’,July 16 2020
Not even the BBC’s Pride network knows why the broadcaster quietly dropped vital charities from its transgender support page,July 15 2020
Only half of Brits would feel ‘comfortable’ with a transgender GP or prime minister,July 15 2020
Transgender woman ‘stabbed in the face with scissors’ in dispute over £21,July 14 2020
"The BBC quietly dropped four LGBT+ charities from its transgender support page. Now, it’s empty",July 10 2020
"Transgender players would be welcomed into women’s football with open arms, says former England striker",July 8 2020
"Margaret Atwood schools transphobes on the ‘flowing bell curve’ of gender using slug sex, gay penguins and transgender fish",July 7 2020
Halle Berry pulls out of playing transgender man in upcoming film after swift and severe backlash,July 7 2020
"Halle Berry says she’s preparing to play a transgender man in a new film, and we are so very, very tired",July 6 2020
Overwhelming majority of Generation Z transgender people remain closeted and have only come out online,July 1 2020
"This is how a transgender Baptist pastor bravely shared her ‘big, risky truth’ with her church",June 25 2020
Walking Dead star Khary Payton proudly introduces his transgender son Karter to the world,June 16 2020
Trans Harry Potter actor rips up her contract and demands JK Rowling pays attention to thousands of years of transgender history,June 13 2020
Trump administration attacks transgender students – again – saying trans-inclusive sports teams violate girls’ civil rights,May 29 2020
Tiny village in France makes history by electing the country’s first-ever openly transgender mayor,May 25 2020
Transgender woman groped and taunted by police as queer community ‘damned’ by gender-based lockdown rules,May 18 2020
Elected school official under fire for spreading ‘unhinged’ transgender coronavirus conspiracy theory,May 11 2020
Gender-based lockdown rules that fuelled rise in violence against transgender people to be lifted,May 10 2020
Aimee Stephens’ health is failing – just as the Supreme Court is about to announce its decision in her landmark transgender civil rights case,May 9 2020
The US’s biggest transgender activist group just endorsed Joe Biden for president: ‘He’s the advocate we need’,May 5 2020
Harvard-bound transgender valedictorian says the tragic death of his best friend inspired him to ‘be happy’,May 5 2020
Liz Truss’ attack on transgender youth slammed as ‘successor’ to Margaret Thatcher’s homophobic Section 28,May 5 2020
"Zara reaches $30,000 settlement with non-binary transgender shopper over alleged discrimination",May 2 2020
Two men arrested in connection with the brutal murder of two transgender women whose bodies were found in a burned out car,May 1 2020
Pope Francis just threw his support behind a small community of Italian transgender sex workers,May 1 2020
Kerry Katona says she’d be ‘devastated’ if her son was transgender but ‘of course’ she’d stand by him,April 28 2020
Health minister rejects call for a ‘national inquiry’ into transgender healthcare despite the best efforts of the fierce anti-trans lobby,April 21 2020
Pioneering transgender athlete says there’s a simple reason trans men are treated differently to trans women in sport,April 21 2020
Stereophonics frontman Kelly Jones reveals his teenage son has come out as transgender,April 20 2020
What does trans mean and what is non-binary? Here’s how you can be respectful of transgender identities,April 20 2020
Jeffrey Tambor addresses transgender sexual misconduct claims on Transparent: ‘I’m sorry it ended the way it did’,April 16 2020
Jay-Z reached out to try and educate rapper who made vile comments about Dwyane Wade’s transgender daughter,April 14 2020
Council scraps relationship education programme after attacks from anti-LGBT campaigners for ‘promoting experimental transgender ideas’,April 13 2020
The latest Power Rangers reboot will reportedly star a transgender ranger,April 9 2020
Mormon and hardcore Star Trek fan explains how Spock helped him accept himself as a transgender man,April 7 2020
Transgender people in Panama alarmed by gender-based coronavirus quarantine rules,April 6 2020
Meet the transgender identical twins who were brought closer together by transitioning together,March 31 2020
Tributes pour in for pioneering transgender Latinx activist Lorena Borjas who has died from coronavirus,March 30 2020
Horrific propaganda campaign claims coronavirus is spread by talking to transgender people,March 30 2020
"In some non-coronavirus news, Cambridge’s transgender community are being let down by pub closures",March 29 2020
Muslim leaders of Ghana blame coronavirus on ‘transgender and lesbianism’. Again,March 27 2020
Argentina makes history with first-ever transgender news anchor on prime time’s Televisión Pública,March 22 2020
"This model compared his ‘misunderstood’ face tattoo to being transgender. Yes, really",March 13 2020
World’s best dad invents special line of swimwear for his transgender daughter,March 13 2020
"Transgender man killed in Puerto Rico, then misgendered by police and the media",March 11 2020
Tatler makes history as the first Russian glossy magazine to feature a transgender cover star,March 11 2020
Transgender teen sent home from school dance in floods of tears for wearing girls’ clothes,March 4 2020
Transgender voters may be unable to vote in this year’s presidential election,February 28 2020
"Doctor Who’s first transgender companion has plans to be the first transgender Doctor, too",February 23 2020
Anti-trans campaign group to attend World Rugby review on transgender players,February 21 2020
Bernie Sanders gets crucial endorsement from trailblazing transgender politician,February 19 2020
Mayor of London Sadiq Khan makes emphatic statement about transgender rights that’s impossible to argue with,February 17 2020
Transgender man joins historic Valentine’s Day lawsuit to bring same-sex marriage to Japan,February 14 2020
"Ruth Hunt, baroness of our hearts, wants you to know the law is failing transgender people",February 12 2020
Talk show host Bill Maher brands transgender issues ‘crazy stuff’ in attack on Elizabeth Warren,February 5 2020
Trailblazing transgender dating app automatically corrects transphobic language,February 3 2020
Donald Trump called journalist with a transgender parent ‘that b***h with the t****y dad’,February 3 2020
"Disney’s Marvel spin-off Loki will introduce a transgender superhero, according to reports",January 30 2020
Transgender lottery winner makes touching gesture after her death to heal rift with estranged children,January 24 2020
Man sentenced to life in prison for stabbing transgender wife to death and hitting her with a hammer,January 24 2020
"Puberty blockers can literally save the lives of transgender teens, new study confirms",January 23 2020
"Transgender teens have a significantly higher suicide risk than cis teens, shocking new study confirms",January 22 2020
Transgender woman who keeps trying to escape from male prison is refused a transfer to a female facility,January 21 2020
Army veteran who served in Iraq and Afghanistan is now a stunning transgender model,January 20 2020
"Transgender youth being targeted by lawmakers with new bills in 12 states, LGBT+ activists say",January 19 2020
Labour’s Jess Phillips on transgender rights and why she’ll never throw minorities ‘under the bus’,January 17 2020
Mafia heir defies her traditional family upbringing to become a powerful transgender activist,January 11 2020
Right-wing white Christians are now ‘praying’ that God ‘exposes’ Michelle Obama as transgender,January 10 2020
Transgender barber Max Cresham died by suicide after suffering from depression and anxiety,January 10 2020
Trump-supporting Republican’s ‘cruel’ bill would sack teachers who let transgender kids play sport,January 9 2020
Transgender teen sues state of New York for refusing to let him correct his birth certificate,January 8 2020
Trailblazing new dating app giving priority to transgender people launches in India,January 8 2020
"Conspiracy theorist claims Michelle Obama is transgender and we’re so very, very tired",January 7 2020
‘Gender critical’ academic claims she was personally victimised by transgender flags put up to protest Donald Trump,January 7 2020
Saved by the Bell reboot to star transgender teen Josie Totah in leading role,January 7 2020
Transgender surgery pioneer makes emphatic plea to allow trans athletes to compete in 2020 Olympics,January 6 2020
"Love, honesty and kindness: Transgender people share their hopes and dreams for 2020 – and it’s eye-opening",January 5 2020
Rock singer Yungblud shares heartwarming story from transgender fan who inspired a song on his new album,January 2 2020
Tennis champion Margaret Court says transgender children are ‘of the devil’,December 30 2019
Band cancels gig after transgender guitarist is denied access to women’s toilet,December 30 2019
Transgender woman accused of hate speech after wearing t-shirt proclaiming ‘trans women are men’,December 23 2019
British newspapers go wild for ‘Britain’s first transgender parents’ – despite there being plenty of other trans parents,December 18 2019
Charlize Theron tells everyone to respect her transgender daughter’s pronouns,December 18 2019
Youth worker accused of rape of transgender teen he met through a children’s home,December 16 2019
Japan backs transgender people using the bathroom that matches their gender in landmark court case,December 13 2019
"Once again, powerful transgender lobby elects 0 openly trans or non-binary MPs",December 13 2019
Tory who warned of Muslim conspiracy to make people transgender elected to Parliament,December 13 2019
Judi Dench seems to suggest her Cats character is transgender in bizarre interview,December 12 2019
Pioneering testicle transplant raises hopes of future surgery for transgender men,December 9 2019
"Marvel turns transgender 12-year-old into comic book superhero, and we love it 3,000",December 9 2019
John McDonnell tells Mumsnet he wants a ‘proper and considered discussion’ about transgender people,December 6 2019
Transgender cyclist swamped with death threats after Donald Trump Jr ‘Twitter tantrum’,December 6 2019
Trans woman reveals she was detained at the airport for ‘being transgender’ in emotional viral video,December 5 2019
Fox News host Tucker Carlson calls transgender rights ‘an issue for rich people’ in bizarre on-air rant,December 5 2019
Republican Christian fired for coming out as transgender has powerful message for bigots hiding behind religion,December 4 2019
Ireland to simplify process for transgender 16- and 17-year-olds to change legal gender,December 3 2019
Children’s book by anti-trans group Transgender Trend compared to ‘terrorist propaganda’,December 3 2019
Elite single-sex schools are changing their admissions policies to allow transgender students for the first time,December 1 2019
Birmingham Pride will pay tribute to the 331 transgender people murdered around the world this year,November 29 2019
"This Thanksgiving, transgender YouTuber Ryan Cassata gives thanks for his chosen queer family",November 28 2019
Trans woman made homeless as a teen becomes the first-ever transgender woman Rhodes Scholar,November 26 2019
Scarlett Johansson admits she ‘mishandled’ backlash after being cast as a transgender man,November 26 2019
Trailblazing transgender racing driver says transitioning ‘saved her life’,November 26 2019
MSPs invite academic who brands trans women ‘parasites’ to speak on Transgender Day of Remembrance,November 20 2019
New research on Transgender Day of Remembrance reveals that three in ten young trans people have attempted suicide,November 20 2019
"Firebrand trailblazer Paris Lees on class, celebrating transgender people and the power of going blonde",November 20 2019
What is International Transgender Day of Remembrance and why is it so important?,November 20 2019
Remembering the 311 trans people murdered in the last year on Transgender Day of Remembrance,November 20 2019
Transgender dad shares powerful story of how he and his wife conceived their son using his eggs,November 19 2019
A transgender ‘Euphoria’ fan had the sweetest interaction with Zendaya and Hunter Schafer,November 18 2019
Teen interrupts Transgender Day of Remembrance vigil with vile transphobia and violent threats,November 18 2019
Trans model Maxine Heron explains why you should support your transgender child,November 17 2019
A transgender woman was mocked and outed without her consent on live TV,November 15 2019
Video game makes history with the first-ever playable transgender character from a major developer,November 15 2019
Teenage transgender YouTuber shares vile death threats she receives every single day,November 11 2019
"From Stonewall to the silver screen, how much do you know about transgender history?",November 10 2019
Flora’s stock price soars after Mumsnet anti-transgender trolls attempt boycott,November 5 2019
New York sculpture honours ‘strength and bravery’ of transgender community by giving them wings,November 5 2019
Thousands sign letter condemning senator Ted Cruz’s stance on landmark transgender custody case,November 5 2019
Europe’s first transgender road crossing has been unveiled in Holland,November 5 2019
Transgender Democrat Danica Roem is facing a transphobic ad blitz as she seeks re-election,November 2 2019
"Gender Recognition Act, healthcare and sex work: What does the UK general election mean for transgender rights?",November 1 2019
Actors’ union Equity urges directors to cast more transgender performers in non-trans roles,October 29 2019
Tinder has 50 gender options but transgender people are being banned for their gender identity,October 25 2019
Phones4U businessman dies in jail while serving sentence for murdering transgender wife,October 25 2019
Immigration officials deleted vital video of a transgender asylum seeker who died in custody,October 24 2019
The important reason Elizabeth Warren is demanding special treatment for transgender asylum seekers,October 22 2019
A transgender woman just made history in the ultra-conservative Muslim-majority Bangladesh,October 19 2019
Woman asks the internet if she’s an a**hole for telling her transgender ex to dress more ‘appropriately’,October 18 2019
Hillary and Chelsea Clinton have very different opinions on transgender identity,October 14 2019
Willow Smith and mum Jada discuss male privilege with a transgender pastor,October 10 2019
John Humphrys says the BBC is too ‘sympathetic’ towards transgender people,October 7 2019
Someone is trolling anti-trans group Transgender Trend in the most perfect way,October 7 2019
Hillary Clinton compares staying with Bill to being the parent of a transgender child,October 3 2019
Christian doctor fired for refusing to call a transgender woman ‘she’ loses tribunal,October 3 2019
Avon’s first transgender rep reveals how ‘the sisterhood’ helped her with her identity,September 30 2019
Transgender woman at centre of landmark Supreme Court case: ‘I’m happy being me’,September 30 2019
"Eight sensational transgender movies you really need to see, from Paris is Burning to Tangerine",September 29 2019
The world’s first professional transgender boxer has just made history yet again,September 26 2019
Mum of Britain’s ‘youngest transgender toddler’ beams with pride: ‘She’s been set free’,September 23 2019
A Baptist church is making history with its first transgender pastor,September 18 2019
The Chinese transgender choir who’re singing for acceptance,September 14 2019
Taxi driver quits after being attacked by drunk passenger for being transgender,September 13 2019
Transgender boy ‘forced to wear blouse to school’,September 9 2019
"The personal details of more than 2,000 transgender patients have been leaked by mistake",September 6 2019
"Transgender woman, bi woman and non-binary lesbian make Tinder’s top 30 singles for 2019",September 5 2019
The Brexit Party just revealed its second transgender candidate for the next general election,September 5 2019
Number 10 accused of trying to ‘weaponise’ transgender rights in an upcoming election,September 3 2019
Japanese woman sues after boss outs her as transgender to colleagues,September 1 2019
"Dave Chappelle makes fun of transgender people, again, in Netflix special",August 27 2019
Chanel just hired its first-ever openly transgender model,August 27 2019
Transgender women forcibly removed from bar after ‘transphobic’ attack,August 25 2019
"Florida teacher refuses to use transgender student’s pronouns, tells her to ‘change class’",August 22 2019
Man dies by suicide after being bullied for dating a transgender woman,August 21 2019
"Transgender troops can sue Pentagon over Trump’s ban, judge rules",August 21 2019
Wisconsin judge rules Medicaid must cover transgender healthcare,August 19 2019
Football writer Nicky Bandini came out as transgender and the timing was… convenient,August 17 2019
Trump administration says it’s legal to fire a person for being transgender,August 17 2019
Renowned football journalist Nicky Bandini comes out as transgender,August 16 2019
Academic says pregnancy is ‘masculine’ as it’s revealed 22 transgender men gave birth in Australia last year,August 15 2019
Transgender children are getting their own underwear collection,August 15 2019
England Cricket reviewing transgender policy ahead of new women’s league,August 15 2019
Transgender woman in handcuffs after trying to use women’s toilets,August 14 2019
Victoria Secret’s first transgender model has a powerful message for the fashion industry,August 13 2019
Scotland’s only transgender politician says it’s ‘isolating’ being out,August 13 2019
"School’s transgender bathroom ban is ‘discriminatory’, rules judge",August 13 2019
This is why make-up is so important for some transgender women,August 12 2019
Scotland: street festival to be held in Edinburgh for transgender rights,August 10 2019
Christian college kicks out Tennessee transgender man for getting top surgery,August 10 2019
Third transgender person murdered in less than a week in US,August 9 2019
Teen arrested for killing black transgender woman in Miami,August 9 2019
Australian prime minister attacks transgender inclusion policy,August 9 2019
Jessica Jones actress: Transgender people deserve more than ‘sensationalism’,August 8 2019
Transgender man Jordan Cofer killed in Dayton attack,August 8 2019
Cricket Australia announces major transgender inclusion policy,August 8 2019
Australia’s anti-LGBT lobby targets transgender kids in schools,August 8 2019
Brexit Party candidate wants to be UK’s first transgender MP,August 6 2019
Valentina Sampaio: Victoria’s Secret hires first transgender model,August 4 2019
Pennsylvania: Two activists arrested while protesting transgender prison policy,August 2 2019
Transgender model Talulah-Eve: School bullying was ‘traumatising’,August 2 2019
Marvel seeking its first transgender superhero,July 31 2019
Transgender YouTuber Jamie Raines on having periods as a man,July 25 2019
Cuba: first transgender couple get married,July 22 2019
How to come out as transgender at work,July 20 2019
Transgender people will not be criminalised for begging in India,July 16 2019
Denny’s defends transgender woman who was arrested after using the bathroom,July 7 2019
Scottish Parliament launches inquiry into transgender healthcare,July 6 2019
Jeremy Corbyn: We must reject ‘horrible’ anti-transgender rights campaign,July 5 2019
Clear majority of the UK public supports transgender self-ID and LGBT-inclusive education,July 3 2019
Influential transgender couple announce pregnancy with cute photo,July 2 2019
Protests in Pakistan after father arrested for murder of transgender daughter,July 1 2019
Angie Mead King on being outed as transgender by Facebook,July 1 2019
"Transgender healthcare in the UK must be ‘urgently addressed’, says GP body",June 28 2019
Transgender hate crimes rocket by 81% in the UK,June 27 2019
Transgender troops serving in US military supported by 71% of Americans,June 21 2019
Man charged in murder of transgender woman in Dallas,June 21 2019
Trump’s ban on transgender troops blocked by Democrats,June 19 2019
Israel Folau: The devil is to blame for transgender children,June 16 2019
Pakistani transgender woman ‘kidnapped and tortured’ by gang,June 11 2019
"Tales of the City on Netflix: Armistead Maupin on transgender inclusion, gay sex",June 7 2019
Donald Trump struggles to explain transgender military ban in Piers Morgan interview,June 5 2019
Transgender asylum seeker dies in Texas after six weeks in ICE custody,June 3 2019
Body of a black transgender woman pulled from White Rock Lake in Dallas,June 3 2019
X Factor star Octavia Donata Columbro comes out as transgender,May 30 2019
Pakistan human rights minister appoints first transgender employee,May 30 2019
Italy elects first transgender mayor near Milan,May 29 2019
Transgender patients face three-year wait at Devon’s gender identity clinic,May 27 2019
World Health Organisation drops transgender from list of mental disorders,May 27 2019
Protesters demand justice for murdered transgender women as Trump unveils harmful new policies,May 25 2019
Trump administration proposes to eliminate transgender health care protections,May 24 2019
Transgender woman opens up about being misgendered at drag show,May 21 2019
USA Powerlifting upholds its ban on transgender athletes,May 18 2019
Mhairi Black: ‘Transgender people face appalling levels of prejudice’,May 16 2019
Chilean school for transgender children helps kids escape bullying,May 15 2019
Transgender lottery winner Melissa Ede dies 18 months after £4m win,May 13 2019
Mississippi transgender woman shot in suspected hate crime attack,May 11 2019
Dad’s campaign forces school to drop policy ‘humiliating’ transgender son,May 11 2019
"Transgender in China: Self-surgery, illegal hormones and Buddhist ‘cures’",May 9 2019
Mexico’s Supreme Court grants new birth certificate to transgender citizen,May 9 2019
"Transgender people in US routinely mistreated by police, report finds",May 7 2019
Transgender prisoner files complaint over alleged mistreatment,May 3 2019
Tennessee advances anti-transgender bathroom bill,May 1 2019
Teacher who was fired for ‘harassing’ transgender student is reinstated,April 30 2019
Merriam-Webster dictionary adds three new transgender words,April 25 2019
Police force welcomes transgender recruits in Pakistan province,April 24 2019
State National Guards defy Trump on transgender military ban,April 24 2019
Donald Trump set to roll back transgender healthcare protections,April 24 2019
SNP backlash against transgender rights reform grows,April 24 2019
Australia election candidate vows to ‘protect children’ from transgender law,April 23 2019
"Transgender man receives $93,000 healthcare bill after suicide attempt",April 19 2019
US Naval Academy to ban transgender students,April 18 2019
Transgender teenager from Brunei seeks asylum in Canada,April 17 2019
Transgender student loses university scholarship over trans military ban,April 16 2019
90% of transgender job-seekers experience problems in Japan,April 15 2019
Man arrested in assault on transgender woman in Dallas,April 15 2019
California National Guard defies Trump on transgender troop ban,April 14 2019
Dallas transgender woman attacked by angry mob in horrifying video,April 14 2019
"Trump’s transgender military ban: 13,700 could lose their jobs from today",April 12 2019
Transgender military ban: Navy allows sailors to express gender while off-duty,April 12 2019
Japan elects first transgender assemblywoman,April 12 2019
Transparent to kill off Jeffrey Tambor’s transgender character,April 12 2019
Betsy DeVos admits she knew her policies would harm transgender kids,April 11 2019
"Meghan McCain blasts ‘un-American, dangerous’ transgender military ban",April 11 2019
Dutch government makes legal transition for transgender people easier,April 11 2019
"Transgender people at higher risk of heart attacks, says study",April 11 2019
Schools remove transgender guide after parents complain,April 11 2019
Russian court rules transgender woman was fired illegally,April 10 2019
Tasmania passes landmark transgender rights reforms,April 10 2019
Transgender man assaulted in ‘terrifying’ hate crime in Colorado,April 9 2019
10 transgender athletes explain why it’s fair to compete,April 4 2019
Nancy Pelosi calls US transgender military ban an ‘act of cruelty’,April 4 2019
Transgender woman violently attacked by mob in Paris,April 3 2019
What percentage of the US population is transgender?,April 2 2019
Trans woman murdered on eve of Transgender Day of Visibility,April 1 2019
Trump adviser Tony Perkins says transgender flags are ‘unpleasant’,April 1 2019
150 pride organisations condemn anti-transgender bigotry in joint statement,March 31 2019
Gabby Logan says transgender women competing in sport is ‘not fair’,March 30 2019
Transgender woman allegedly sexually assaulted in men’s prison,March 30 2019
Alexa features voice of transgender man for Trans Visibility Day,March 29 2019
Bipartisan vote condemns Trump’s transgender military ban,March 28 2019
Transgender student barred from being prom king named ‘Royal Knight’ instead,March 26 2019
Bernie Sanders displays transgender flag outside office,March 26 2019
Thailand elects first transgender MP Tanwarin Sukkhapisit,March 25 2019
Transgender student allegedly told he wasn’t allowed to be prom king,March 22 2019
Transgender man claims hospital cancelled surgery because of Catholic ethos,March 21 2019
The Economist under fire for asking if transgender people should be sterilised,March 20 2019
Teacher who ‘bullied’ transgender student to lose his job,March 20 2019
Transgender woman refused service in Dublin pub,March 19 2019
Project Runway debuts first transgender model,March 15 2019
Wrestler Santino Marella says transgender women competing is ‘not fair’,March 15 2019
How to use a binder safely: A transgender and non-binary guide,March 15 2019
Prince Charles honours transgender student,March 14 2019
Trump administration announces limits on transgender troops,March 13 2019
